episode,Success,Replay Memory,total numsteps,level
777,0,69671,69671,0
778,0,69690,69690,0
779,1,69730,69730,0
780,0,69986,69986,0
781,0,70007,70007,0
782,0,70026,70026,0
783,0,70282,70282,0
784,1,70296,70296,0
785,0,70315,70315,0
786,0,70336,70336,0
787,1,70344,70344,0
788,1,70363,70363,0
789,1,70386,70386,0
790,1,70397,70397,0
791,0,70417,70417,0
792,0,70436,70436,0
793,1,70441,70441,0
794,1,70453,70453,0
795,0,70709,70709,0
796,0,70732,70732,0
797,0,70988,70988,0
798,1,71015,71015,0
799,1,71035,71035,0
800,0,71059,71059,0
801,1,71070,71070,0
802,0,71094,71094,0
803,1,71102,71102,0
804,0,71120,71120,0
805,0,71145,71145,0
806,1,71159,71159,0
807,1,71170,71170,0
808,0,71190,71190,0
809,1,71195,71195,0
810,0,71221,71221,0
811,1,71235,71235,0
812,0,71254,71254,0
813,0,71273,71273,0
814,0,71296,71296,0
815,0,71552,71552,0
816,0,71570,71570,0
817,0,71826,71826,0
818,0,72082,72082,0
819,1,72097,72097,0
820,1,72110,72110,0
821,0,72127,72127,0
822,0,72148,72148,0
823,0,72170,72170,0
824,0,72426,72426,0
825,0,72453,72453,0
826,0,72479,72479,0
827,0,72498,72498,0
828,0,72520,72520,0
829,0,72776,72776,0
830,0,72801,72801,0
831,0,72822,72822,0
832,1,72828,72828,0
833,0,72855,72855,0
834,0,72877,72877,0
835,0,73133,73133,0
836,1,73165,73165,0
837,0,73185,73185,0
838,1,73196,73196,0
839,0,73218,73218,0
840,0,73240,73240,0
841,0,73259,73259,0
842,0,73275,73275,0
843,0,73295,73295,0
844,0,73321,73321,0
845,0,73338,73338,0
846,0,73594,73594,0
847,0,73616,73616,0
848,0,73640,73640,0
849,0,73659,73659,0
850,1,73764,73764,0
851,0,73783,73783,0
852,0,73806,73806,0
853,0,73829,73829,0
854,1,73851,73851,0
855,0,73869,73869,0
856,0,73891,73891,0
857,0,73910,73910,0
858,0,73930,73930,0
859,0,73951,73951,0
860,0,73975,73975,0
861,0,74008,74008,0
862,1,74021,74021,0
863,0,74277,74277,0
864,0,74301,74301,0
865,1,74329,74329,0
866,0,74350,74350,0
867,0,74371,74371,0
868,0,74390,74390,0
869,0,74410,74410,0
870,0,74432,74432,0
871,0,74448,74448,0
872,0,74704,74704,0
873,0,74731,74731,0
874,0,74987,74987,0
875,0,75013,75013,0
876,0,75035,75035,0
877,1,75047,75047,0
878,0,75067,75067,0
879,0,75085,75085,0
880,0,75131,75131,0
